1. film tablosunda bulunan title ve description sütunlarındaki verileri sıralayınız.
"title","description"
114,"Camelot Vacation","A Touching Character Study of a Woman And a Waitress who must Battle a Pastry Chef in A MySQL Convention",2006,1,3,0.99,61,26.99,"NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'battl':15 'camelot':1 'charact':5 'chef':18 'convent':22 'must':14 'mysql':21 'pastri':17 'studi':6 'touch':4 'vacat':2 'waitress':12 'woman':9"
116,"Candidate Perdition","A Brilliant Epistle of a Composer And a Database Administrator who must Vanquish a Mad Scientist in The First Manned Space Station",2006,1,4,2.99,70,10.99,"R","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'administr':12 'brilliant':4 'candid':1 'compos':8 'databas':11 'epistl':5 'first':21 'mad':17 'man':22 'must':14 'perdit':2 'scientist':18 'space':23 'station':24 'vanquish':15"
125,"Cassidy Wyoming","A Intrepid Drama of a Frisbee And a Hunter who must Kill a Secret Agent in New Orleans",2006,1,5,2.99,61,19.99,"NC-17","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'agent':17 'cassidi':1 'drama':5 'frisbe':8 'hunter':11 'intrepid':4 'kill':14 'must':13 'new':19 'orlean':20 'secret':16 'wyom':2"
135,"Chance Resurrection","A Astounding Story of a Forensic Psychologist And a Forensic Psychologist who must Overcome a Moose in Ancient China",2006,1,3,2.99,70,22.99,"R","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'ancient':20 'astound':4 'chanc':1 'china':21 'forens':8,12 'moos':18 'must':15 'overcom':16 'psychologist':9,13 'resurrect':2 'stori':5"
137,"Charade Duffel","A Action-Packed Display of a Man And a Waitress who must Build a Dog in A MySQL Convention",2006,1,3,2.99,66,21.99,"PG","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'action':5 'action-pack':4 'build':16 'charad':1 'convent':22 'display':7 'dog':18 'duffel':2 'man':10 'must':15 'mysql':21 'pack':6 'waitress':13"
138,"Chariots Conspiracy","A Unbelieveable Epistle of a Robot And a Husband who must Chase a Robot in The First Manned Space Station",2006,1,5,2.99,71,29.99,"R","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'chariot':1 'chase':14 'conspiraci':2 'epistl':5 'first':19 'husband':11 'man':20 'must':13 'robot':8,16 'space':21 'station':22 'unbeliev':4"
144,"Chinatown Gladiator","A Brilliant Panorama of a Technical Writer And a Lumberjack who must Escape a Butler in Ancient India",2006,1,7,4.99,61,24.99,"PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'ancient':19 'brilliant':4 'butler':17 'chinatown':1 'escap':15 'gladiat':2 'india':20 'lumberjack':12 'must':14 'panorama':5 'technic':8 'writer':9"
160,"Club Graffiti","A Epic Tale of a Pioneer And a Hunter who must Escape a Girl in A U-Boat",2006,1,4,0.99,65,12.99,"PG-13","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'boat':21 'club':1 'epic':4 'escap':14 'girl':16 'graffiti':2 'hunter':11 'must':13 'pioneer':8 'tale':5 'u':20 'u-boat':19"
161,"Clue Grail","A Taut Tale of a Butler And a Mad Scientist who must Build a Crocodile in Ancient China",2006,1,6,4.99,70,27.99,"NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'ancient':19 'build':15 'butler':8 'china':20 'clue':1 'crocodil':17 'grail':2 'mad':11 'must':14 'scientist':12 'tale':5 'taut':4"
165,"Coldblooded Darling","A Brilliant Panorama of a Dentist And a Moose who must Find a Student in The Gulf of Mexico",2006,1,7,4.99,70,27.99,"G","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'brilliant':4 'coldblood':1 'darl':2 'dentist':8 'find':14 'gulf':19 'mexico':21 'moos':11 'must':13 'panorama':5 'student':16"
168,"Comancheros Enemy","A Boring Saga of a Lumberjack And a Monkey who must Find a Monkey in The Gulf of Mexico",2006,1,5,0.99,67,23.99,"R","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'bore':4 'comanchero':1 'enemi':2 'find':14 'gulf':19 'lumberjack':8 'mexico':21 'monkey':11,16 'must':13 'saga':5"
173,"Confessions Maguire","A Insightful Story of a Car And a Boy who must Battle a Technical Writer in A Baloon",2006,1,7,4.99,65,25.99,"PG-13","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'baloon':20 'battl':14 'boy':11 'car':8 'confess':1 'insight':4 'maguir':2 'must':13 'stori':5 'technic':16 'writer':17"
186,"Craft Outfield","A Lacklusture Display of a Explorer And a Hunter who must Succumb a Database Administrator in A Baloon Factory",2006,1,6,0.99,64,17.99,"NC-17","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'administr':17 'baloon':20 'craft':1 'databas':16 'display':5 'explor':8 'factori':21 'hunter':11 'lacklustur':4 'must':13 'outfield':2 'succumb':14"
196,"Cruelty Unforgiven","A Brilliant Tale of a Car And a Moose who must Battle a Dentist in Nigeria",2006,1,7,0.99,69,29.99,"G","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'battl':14 'brilliant':4 'car':8 'cruelti':1 'dentist':16 'moos':11 'must':13 'nigeria':18 'tale':5 'unforgiven':2"
222,"Desert Poseidon","A Brilliant Documentary of a Butler And a Frisbee who must Build a Astronaut in New Orleans",2006,1,4,4.99,64,27.99,"R","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'astronaut':16 'brilliant':4 'build':14 'butler':8 'desert':1 'documentari':5 'frisbe':11 'must':13 'new':18 'orlean':19 'poseidon':2"
231,"Dinosaur Secretary","A Action-Packed Drama of a Feminist And a Girl who must Reach a Robot in The Canadian Rockies",2006,1,7,2.99,63,27.99,"R","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'action':5 'action-pack':4 'canadian':21 'dinosaur':1 'drama':7 'feminist':10 'girl':13 'must':15 'pack':6 'reach':16 'robot':18 'rocki':22 'secretari':2"
235,"Divide Monster","A Intrepid Saga of a Man And a Forensic Psychologist who must Reach a Squirrel in A Monastery",2006,1,6,2.99,68,13.99,"PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'divid':1 'forens':11 'intrepid':4 'man':8 'monasteri':20 'monster':2 'must':14 'psychologist':12 'reach':15 'saga':5 'squirrel':17"
242,"Doom Dancing","A Astounding Panorama of a Car And a Mad Scientist who must Battle a Lumberjack in A MySQL Convention",2006,1,4,0.99,68,13.99,"R","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'astound':4 'battl':15 'car':8 'convent':21 'danc':2 'doom':1 'lumberjack':17 'mad':11 'must':14 'mysql':20 'panorama':5 'scientist':12"
253,"Drifter Commandments","A Epic Reflection of a Womanizer And a Squirrel who must Discover a Husband in A Jet Boat",2006,1,5,4.99,61,18.99,"PG-13","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'boat':20 'command':2 'discov':14 'drifter':1 'epic':4 'husband':16 'jet':19 'must':13 'reflect':5 'squirrel':11 'woman':8"
274,"Egg Igby","A Beautiful Documentary of a Boat And a Sumo Wrestler who must Succumb a Database Administrator in The First Manned Space Station",2006,1,4,2.99,67,20.99,"PG","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'administr':18 'beauti':4 'boat':8 'databas':17 'documentari':5 'egg':1 'first':21 'igbi':2 'man':22 'must':14 'space':23 'station':24 'succumb':15 'sumo':11 'wrestler':12"
289,"Eve Resurrection","A Awe-Inspiring Yarn of a Pastry Chef And a Database Administrator who must Challenge a Teacher in A Baloon",2006,1,5,4.99,66,25.99,"G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'administr':15 'awe':5 'awe-inspir':4 'baloon':23 'challeng':18 'chef':11 'databas':14 'eve':1 'inspir':6 'must':17 'pastri':10 'resurrect':2 'teacher':20 'yarn':7"
311,"Fiction Christmas","A Emotional Yarn of a A Shark And a Student who must Battle a Robot in An Abandoned Mine Shaft",2006,1,4,0.99,72,14.99,"PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'abandon':20 'battl':15 'christma':2 'emot':4 'fiction':1 'mine':21 'must':14 'robot':17 'shaft':22 'shark':9 'student':12 'yarn':5"
326,"Flying Hook","A Thrilling Display of a Mad Cow And a Dog who must Challenge a Frisbee in Nigeria",2006,1,6,2.99,69,18.99,"NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'challeng':15 'cow':9 'display':5 'dog':12 'fli':1 'frisbe':17 'hook':2 'mad':8 'must':14 'nigeria':19 'thrill':4"
329,"Forrest Sons","A Thrilling Documentary of a Forensic Psychologist And a Butler who must Defeat a Explorer in A Jet Boat",2006,1,4,2.99,63,15.99,"R","2013-05-26 14:50:58.951","{Commentaries}","'boat':21 'butler':12 'defeat':15 'documentari':5 'explor':17 'forens':8 'forrest':1 'jet':20 'must':14 'psychologist':9 'son':2 'thrill':4"
334,"Freddy Storm","A Intrepid Saga of a Man And a Lumberjack who must Vanquish a Husband in The Outback",2006,1,6,4.99,65,21.99,"NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'freddi':1 'husband':16 'intrepid':4 'lumberjack':11 'man':8 'must':13 'outback':19 'saga':5 'storm':2 'vanquish':14"
337,"Frida Slipper","A Fateful Story of a Lumberjack And a Car who must Escape a Boat in An Abandoned Mine Shaft",2006,1,6,2.99,73,11.99,"R","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'abandon':19 'boat':16 'car':11 'escap':14 'fate':4 'frida':1 'lumberjack':8 'mine':20 'must':13 'shaft':21 'slipper':2 'stori':5"
364,"Godfather Diary","A Stunning Saga of a Lumberjack And a Squirrel who must Chase a Car in The Outback",2006,1,3,2.99,73,14.99,"NC-17","2013-05-26 14:50:58.951","{Trailers}","'car':16 'chase':14 'diari':2 'godfath':1 'lumberjack':8 'must':13 'outback':19 'saga':5 'squirrel':11 'stun':4"
388,"Gunfight Moon","A Epic Reflection of a Pastry Chef And a Explorer who must Reach a Dentist in The Sahara Desert",2006,1,5,0.99,70,16.99,"NC-17","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'chef':9 'dentist':17 'desert':21 'epic':4 'explor':12 'gunfight':1 'moon':2 'must':14 'pastri':8 'reach':15 'reflect':5 'sahara':20"
396,"Hanging Deep","A Action-Packed Yarn of a Boat And a Crocodile who must Build a Monkey in Berlin",2006,1,5,4.99,62,18.99,"G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'action':5 'action-pack':4 'berlin':20 'boat':10 'build':16 'crocodil':13 'deep':2 'hang':1 'monkey':18 'must':15 'pack':6 'yarn':7"
400,"Hardly Robbers","A Emotional Character Study of a Hunter And a Car who must Kill a Woman in Berlin",2006,1,7,2.99,72,15.99,"R","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'berlin':19 'car':12 'charact':5 'emot':4 'hard':1 'hunter':9 'kill':15 'must':14 'robber':2 'studi':6 'woman':17"
408,"Head Stranger","A Thoughtful Saga of a Hunter And a Crocodile who must Confront a Dog in The Gulf of Mexico",2006,1,4,4.99,69,28.99,"R","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'confront':14 'crocodil':11 'dog':16 'gulf':19 'head':1 'hunter':8 'mexico':21 'must':13 'saga':5 'stranger':2 'thought':4"
423,"Hollywood Anonymous","A Fast-Paced Epistle of a Boy And a Explorer who must Escape a Dog in A U-Boat",2006,1,7,0.99,69,29.99,"PG","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'anonym':2 'boat':23 'boy':10 'dog':18 'epistl':7 'escap':16 'explor':13 'fast':5 'fast-pac':4 'hollywood':1 'must':15 'pace':6 'u':22 'u-boat':21"
438,"Human Graffiti","A Beautiful Reflection of a Womanizer And a Sumo Wrestler who must Chase a Database Administrator in The Gulf of Mexico",2006,1,3,2.99,68,22.99,"NC-17","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'administr':18 'beauti':4 'chase':15 'databas':17 'graffiti':2 'gulf':21 'human':1 'mexico':23 'must':14 'reflect':5 'sumo':11 'woman':8 'wrestler':12"
442,"Hunting Musketeers","A Thrilling Reflection of a Pioneer And a Dentist who must Outrace a Womanizer in An Abandoned Mine Shaft",2006,1,6,2.99,65,24.99,"NC-17","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'abandon':19 'dentist':11 'hunt':1 'mine':20 'musket':2 'must':13 'outrac':14 'pioneer':8 'reflect':5 'shaft':21 'thrill':4 'woman':16"
459,"Informer Double","A Action-Packed Display of a Woman And a Dentist who must Redeem a Forensic Psychologist in The Canadian Rockies",2006,1,4,4.99,74,23.99,"NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'action':5 'action-pack':4 'canadian':22 'dentist':13 'display':7 'doubl':2 'forens':18 'inform':1 'must':15 'pack':6 'psychologist':19 'redeem':16 'rocki':23 'woman':10"
466,"Intolerable Intentions","A Awe-Inspiring Story of a Monkey And a Pastry Chef who must Succumb a Womanizer in A MySQL Convention",2006,1,6,4.99,63,20.99,"PG-13","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'awe':5 'awe-inspir':4 'chef':14 'convent':23 'inspir':6 'intent':2 'intoler':1 'monkey':10 'must':16 'mysql':22 'pastri':13 'stori':7 'succumb':17 'woman':19"
491,"Jumping Wrath","A Touching Epistle of a Monkey And a Feminist who must Discover a Boat in Berlin",2006,1,4,0.99,74,18.99,"NC-17","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'berlin':18 'boat':16 'discov':14 'epistl':5 'feminist':11 'jump':1 'monkey':8 'must':13 'touch':4 'wrath':2"
502,"Knock Warlock","A Unbelieveable Story of a Teacher And a Boat who must Confront a Moose in A Baloon",2006,1,4,2.99,71,21.99,"PG-13","2013-05-26 14:50:58.951","{Trailers}","'baloon':19 'boat':11 'confront':14 'knock':1 'moos':16 'must':13 'stori':5 'teacher':8 'unbeliev':4 'warlock':2"
506,"Lady Stage","A Beautiful Character Study of a Woman And a Man who must Pursue a Explorer in A U-Boat",2006,1,4,4.99,67,14.99,"PG","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'beauti':4 'boat':22 'charact':5 'explor':17 'ladi':1 'man':12 'must':14 'pursu':15 'stage':2 'studi':6 'u':21 'u-boat':20 'woman':9"
514,"Lebowski Soldiers","A Beautiful Epistle of a Secret Agent And a Pioneer who must Chase a Astronaut in Ancient China",2006,1,6,2.99,69,17.99,"PG-13","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'agent':9 'ancient':19 'astronaut':17 'beauti':4 'chase':15 'china':20 'epistl':5 'lebowski':1 'must':14 'pioneer':12 'secret':8 'soldier':2"
560,"Mars Roman","A Boring Drama of a Car And a Dog who must Succumb a Madman in Soviet Georgia",2006,1,6,0.99,62,21.99,"NC-17","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'bore':4 'car':8 'dog':11 'drama':5 'georgia':19 'madman':16 'mar':1 'must':13 'roman':2 'soviet':18 'succumb':14"
529,"Lonely Elephant","A Intrepid Story of a Student And a Dog who must Challenge a Explorer in Soviet Georgia",2006,1,3,2.99,67,12.99,"G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'challeng':14 'dog':11 'eleph':2 'explor':16 'georgia':19 'intrepid':4 'lone':1 'must':13 'soviet':18 'stori':5 'student':8"
534,"Louisiana Harry","A Lacklusture Drama of a Girl And a Technical Writer who must Redeem a Monkey in A Shark Tank",2006,1,5,0.99,70,18.99,"PG-13","2013-05-26 14:50:58.951","{Trailers}","'drama':5 'girl':8 'harri':2 'lacklustur':4 'louisiana':1 'monkey':17 'must':14 'redeem':15 'shark':20 'tank':21 'technic':11 'writer':12"
536,"Lovely Jingle","A Fanciful Yarn of a Crocodile And a Forensic Psychologist who must Discover a Crocodile in The Outback",2006,1,3,2.99,65,18.99,"PG","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'crocodil':8,17 'discov':15 'fanci':4 'forens':11 'jingl':2 'love':1 'must':14 'outback':20 'psychologist':12 'yarn':5"
541,"Luke Mummy","A Taut Character Study of a Boy And a Robot who must Redeem a Mad Scientist in Ancient India",2006,1,5,2.99,74,21.99,"NC-17","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'ancient':20 'boy':9 'charact':5 'india':21 'luke':1 'mad':17 'mummi':2 'must':14 'redeem':15 'robot':12 'scientist':18 'studi':6 'taut':4"
550,"Maguire Apache","A Fast-Paced Reflection of a Waitress And a Hunter who must Defeat a Forensic Psychologist in A Baloon",2006,1,6,2.99,74,22.99,"NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'apach':2 'baloon':22 'defeat':16 'fast':5 'fast-pac':4 'forens':18 'hunter':13 'maguir':1 'must':15 'pace':6 'psychologist':19 'reflect':7 'waitress':10"
558,"Mannequin Worst","A Astounding Saga of a Mad Cow And a Pastry Chef who must Discover a Husband in Ancient India",2006,1,3,2.99,71,18.99,"PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'ancient':20 'astound':4 'chef':13 'cow':9 'discov':16 'husband':18 'india':21 'mad':8 'mannequin':1 'must':15 'pastri':12 'saga':5 'worst':2"
566,"Maude Mod","A Beautiful Documentary of a Forensic Psychologist And a Cat who must Reach a Astronaut in Nigeria",2006,1,6,0.99,72,20.99,"R","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'astronaut':17 'beauti':4 'cat':12 'documentari':5 'forens':8 'maud':1 'mod':2 'must':14 'nigeria':19 'psychologist':9 'reach':15"
572,"Metropolis Coma","A Emotional Saga of a Database Administrator And a Pastry Chef who must Confront a Teacher in A Baloon Factory",2006,1,4,2.99,64,9.99,"PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'administr':9 'baloon':21 'chef':13 'coma':2 'confront':16 'databas':8 'emot':4 'factori':22 'metropoli':1 'must':15 'pastri':12 'saga':5 'teacher':18"
577,"Mile Mulan","A Lacklusture Epistle of a Cat And a Husband who must Confront a Boy in A MySQL Convention",2006,1,4,0.99,64,10.99,"PG","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'boy':16 'cat':8 'confront':14 'convent':20 'epistl':5 'husband':11 'lacklustur':4 'mile':1 'mulan':2 'must':13 'mysql':19"
589,"Modern Dorado","A Awe-Inspiring Story of a Butler And a Sumo Wrestler who must Redeem a Boy in New Orleans",2006,1,3,0.99,74,20.99,"PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'awe':5 'awe-inspir':4 'boy':19 'butler':10 'dorado':2 'inspir':6 'modern':1 'must':16 'new':21 'orlean':22 'redeem':17 'stori':7 'sumo':13 'wrestler':14"
611,"Musketeers Wait","A Touching Yarn of a Student And a Moose who must Fight a Mad Cow in Australia",2006,1,7,4.99,73,17.99,"PG","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'australia':19 'cow':17 'fight':14 'mad':16 'moos':11 'musket':1 'must':13 'student':8 'touch':4 'wait':2 'yarn':5"
627,"North Tequila","A Beautiful Character Study of a Mad Cow And a Robot who must Reach a Womanizer in New Orleans",2006,1,4,4.99,67,9.99,"NC-17","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'beauti':4 'charact':5 'cow':10 'mad':9 'must':15 'new':20 'north':1 'orlean':21 'reach':16 'robot':13 'studi':6 'tequila':2 'woman':18"
631,"Novocaine Flight","A Fanciful Display of a Student And a Teacher who must Outgun a Crocodile in Nigeria",2006,1,4,0.99,64,11.99,"G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'crocodil':16 'display':5 'fanci':4 'flight':2 'must':13 'nigeria':18 'novocain':1 'outgun':14 'student':8 'teacher':11"
664,"Patriot Roman","A Taut Saga of a Robot And a Database Administrator who must Challenge a Astronaut in California",2006,1,6,2.99,65,12.99,"PG","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'administr':12 'astronaut':17 'california':19 'challeng':15 'databas':11 'must':14 'patriot':1 'robot':8 'roman':2 'saga':5 'taut':4"
669,"Pearl Destiny","A Lacklusture Yarn of a Astronaut And a Pastry Chef who must Sink a Dog in A U-Boat",2006,1,3,2.99,74,10.99,"NC-17","2013-05-26 14:50:58.951","{Trailers}","'astronaut':8 'boat':22 'chef':12 'destini':2 'dog':17 'lacklustur':4 'must':14 'pastri':11 'pearl':1 'sink':15 'u':21 'u-boat':20 'yarn':5"
688,"Polish Brooklyn","A Boring Character Study of a Database Administrator And a Lumberjack who must Reach a Madman in The Outback",2006,1,6,0.99,61,12.99,"PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'administr':10 'bore':4 'brooklyn':2 'charact':5 'databas':9 'lumberjack':13 'madman':18 'must':15 'outback':21 'polish':1 'reach':16 'studi':6"
698,"Princess Giant","A Thrilling Yarn of a Pastry Chef And a Monkey who must Battle a Monkey in A Shark Tank",2006,1,3,2.99,71,29.99,"NC-17","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'battl':15 'chef':9 'giant':2 'monkey':12,17 'must':14 'pastri':8 'princess':1 'shark':20 'tank':21 'thrill':4 'yarn':5"
713,"Rainbow Shock","A Action-Packed Story of a Hunter And a Boy who must Discover a Lumberjack in Ancient India",2006,1,3,4.99,74,14.99,"PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'action':5 'action-pack':4 'ancient':20 'boy':13 'discov':16 'hunter':10 'india':21 'lumberjack':18 'must':15 'pack':6 'rainbow':1 'shock':2 'stori':7"
714,"Random Go","A Fateful Drama of a Frisbee And a Student who must Confront a Cat in A Shark Tank",2006,1,6,2.99,73,29.99,"NC-17","2013-05-26 14:50:58.951","{Trailers}","'cat':16 'confront':14 'drama':5 'fate':4 'frisbe':8 'go':2 'must':13 'random':1 'shark':19 'student':11 'tank':20"
718,"Rebel Airport","A Intrepid Yarn of a Database Administrator And a Boat who must Outrace a Husband in Ancient India",2006,1,7,0.99,73,24.99,"G","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'administr':9 'airport':2 'ancient':19 'boat':12 'databas':8 'husband':17 'india':20 'intrepid':4 'must':14 'outrac':15 'rebel':1 'yarn':5"
726,"Reservoir Adaptation","A Intrepid Drama of a Teacher And a Moose who must Kill a Car in California",2006,1,7,2.99,61,29.99,"PG-13","2013-05-26 14:50:58.951","{Commentaries}","'adapt':2 'california':18 'car':16 'drama':5 'intrepid':4 'kill':14 'moos':11 'must':13 'reservoir':1 'teacher':8"
728,"Reunion Witches","A Unbelieveable Documentary of a Database Administrator And a Frisbee who must Redeem a Mad Scientist in A Baloon Factory",2006,1,3,0.99,63,26.99,"R","2013-05-26 14:50:58.951","{Commentaries}","'administr':9 'baloon':21 'databas':8 'documentari':5 'factori':22 'frisbe':12 'mad':17 'must':14 'redeem':15 'reunion':1 'scientist':18 'unbeliev':4 'witch':2"
759,"Salute Apollo","A Awe-Inspiring Character Study of a Boy And a Feminist who must Sink a Crocodile in Ancient China",2006,1,4,2.99,73,29.99,"R","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'ancient':21 'apollo':2 'awe':5 'awe-inspir':4 'boy':11 'charact':7 'china':22 'crocodil':19 'feminist':14 'inspir':6 'must':16 'salut':1 'sink':17 'studi':8"
790,"Shootist Superfly","A Fast-Paced Story of a Crocodile And a A Shark who must Sink a Pioneer in Berlin",2006,1,6,0.99,67,22.99,"PG-13","2013-05-26 14:50:58.951","{Trailers}","'berlin':21 'crocodil':10 'fast':5 'fast-pac':4 'must':16 'pace':6 'pioneer':19 'shark':14 'shootist':1 'sink':17 'stori':7 'superfli':2"
797,"Silence Kane","A Emotional Drama of a Sumo Wrestler And a Dentist who must Confront a Sumo Wrestler in A Baloon",2006,1,7,0.99,67,23.99,"R","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'baloon':21 'confront':15 'dentist':12 'drama':5 'emot':4 'kane':2 'must':14 'silenc':1 'sumo':8,17 'wrestler':9,18"
798,"Silverado Goldfinger","A Stunning Epistle of a Sumo Wrestler And a Man who must Challenge a Waitress in Ancient India",2006,1,4,4.99,74,11.99,"PG","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'ancient':19 'challeng':15 'epistl':5 'goldfing':2 'india':20 'man':12 'must':14 'silverado':1 'stun':4 'sumo':8 'waitress':17 'wrestler':9"
805,"Sleepless Monsoon","A Amazing Saga of a Moose And a Pastry Chef who must Escape a Butler in Australia",2006,1,5,4.99,64,12.99,"G","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'amaz':4 'australia':19 'butler':17 'chef':12 'escap':15 'monsoon':2 'moos':8 'must':14 'pastri':11 'saga':5 'sleepless':1"
815,"Snatchers Montezuma","A Boring Epistle of a Sumo Wrestler And a Woman who must Escape a Man in The Canadian Rockies",2006,1,4,2.99,74,14.99,"PG-13","2013-05-26 14:50:58.951","{Commentaries}","'bore':4 'canadian':20 'epistl':5 'escap':15 'man':17 'montezuma':2 'must':14 'rocki':21 'snatcher':1 'sumo':8 'woman':12 'wrestler':9"
816,"Snowman Rollercoaster","A Fateful Display of a Lumberjack And a Girl who must Succumb a Mad Cow in A Manhattan Penthouse",2006,1,3,0.99,62,27.99,"G","2013-05-26 14:50:58.951","{Trailers}","'cow':17 'display':5 'fate':4 'girl':11 'lumberjack':8 'mad':16 'manhattan':20 'must':13 'penthous':21 'rollercoast':2 'snowman':1 'succumb':14"
856,"Streetcar Intentions","A Insightful Character Study of a Waitress And a Crocodile who must Sink a Waitress in The Gulf of Mexico",2006,1,5,4.99,73,11.99,"R","2013-05-26 14:50:58.951","{Commentaries}","'charact':5 'crocodil':12 'gulf':20 'insight':4 'intent':2 'mexico':22 'must':14 'sink':15 'streetcar':1 'studi':6 'waitress':9,17"
891,"Timberland Sky","A Boring Display of a Man And a Dog who must Redeem a Girl in A U-Boat",2006,1,3,0.99,69,13.99,"G","2013-05-26 14:50:58.951","{Commentaries}","'boat':21 'bore':4 'display':5 'dog':11 'girl':16 'man':8 'must':13 'redeem':14 'sky':2 'timberland':1 'u':20 'u-boat':19"
877,"Taxi Kick","A Amazing Epistle of a Girl And a Woman who must Outrace a Waitress in Soviet Georgia",2006,1,4,0.99,64,23.99,"PG-13","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'amaz':4 'epistl':5 'georgia':19 'girl':8 'kick':2 'must':13 'outrac':14 'soviet':18 'taxi':1 'waitress':16 'woman':11"
878,"Teen Apollo","A Awe-Inspiring Drama of a Dog And a Man who must Escape a Robot in A Shark Tank",2006,1,3,4.99,74,25.99,"G","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'apollo':2 'awe':5 'awe-inspir':4 'dog':10 'drama':7 'escap':16 'inspir':6 'man':13 'must':15 'robot':18 'shark':21 'tank':22 'teen':1"
